product_handle,brand_handle,variant_handle,vendor_handle,vendor_sku,cost_price_gbp,is_primary
pickle-masala-mangal,natco,125g,natco_foods,natco-natco-pickle-masala-mangal-125g,,true
meat-masala-mangal,natco,100g,natco_foods,natco-natco-meat-masala-mangal-100g,,true
chat-masala-mangal,natco,100g,natco_foods,natco-natco-chat-masala-mangal-100g,,true
chana-masala-mangal,natco,100g,natco_foods,natco-natco-chana-masala-mangal-100g,,true
anardana-powder-mangal,natco,100g,natco_foods,natco-natco-anardana-powder-mangal-100g,,true
soya-beans,natco,2kg,natco_foods,natco-natco-soya-beans-2kg,,true
soya-beans,natco,500g,natco_foods,natco-natco-soya-beans-500g,,true
red-lentils-polished,natco,2kg,natco_foods,natco-natco-red-lentils-polished-2kg,,true
red-lentils-polished,natco,1kg,natco_foods,natco-natco-red-lentils-polished-1kg,,true
mung-dal-yellow,natco,1kg,natco_foods,natco-natco-mung-dal-yellow-1kg,,true
mung-dal-yellow,natco,2kg,natco_foods,natco-natco-mung-dal-yellow-2kg,,true
mung-split,natco,2kg,natco_foods,natco-natco-mung-split-2kg,,true
mung-split,natco,500g,natco_foods,natco-natco-mung-split-500g,,true
mung-beans,natco,1kg,natco_foods,natco-natco-mung-beans-1kg,,true
mung-beans,natco,2kg,natco_foods,natco-natco-mung-beans-2kg,,true
green-lentils,natco,1kg,natco_foods,natco-natco-green-lentils-1kg,,true
green-lentils,natco,2kg,natco_foods,natco-natco-green-lentils-2kg,,true
chanadal-polished,natco,2kg,natco_foods,natco-natco-chanadal-polished-2kg,,true
chanadal-polished,natco,1kg,natco_foods,natco-natco-chanadal-polished-1kg,,true
brown-lentils,natco,2kg,natco_foods,natco-natco-brown-lentils-2kg,,true
brown-lentils,natco,500g,natco_foods,natco-natco-brown-lentils-500g,,true
butter-beans,natco,2kg,natco_foods,natco-natco-butter-beans-2kg,,true
butter-beans,natco,500g,natco_foods,natco-natco-butter-beans-500g,,true
black-eye-beans,natco,2kg,natco_foods,natco-natco-black-eye-beans-2kg,,true
black-eye-beans,natco,500g,natco_foods,natco-natco-black-eye-beans-500g,,true
alubia-beans,natco,2kg,natco_foods,natco-natco-alubia-beans-2kg,,true
alubia-beans,natco,500g,natco_foods,natco-natco-alubia-beans-500g,,true
coconut-water,natco,330ml,natco_foods,natco-natco-coconut-water-330ml,,true
coconut-water,natco,1l,natco_foods,natco-natco-coconut-water-1l,,true
rose-syrup,natco,725ml,natco_foods,natco-natco-rose-syrup-725ml,,true
dried-tarragon,natco,25g,natco_foods,natco-natco-dried-tarragon-25g,,true
sage-jar,natco,25g,natco_foods,natco-natco-sage-jar-25g,,true
parsley-jar,natco,25g,natco_foods,natco-natco-parsley-jar-25g,,true
oregano-jar,natco,25g,natco_foods,natco-natco-oregano-jar-25g,,true
mixed-herbs-jar,natco,25g,natco_foods,natco-natco-mixed-herbs-jar-25g,,true
mint-jar,natco,30g,natco_foods,natco-natco-mint-jar-30g,,true
marjoram-jar,natco,20g,natco_foods,natco-natco-marjoram-jar-20g,,true
coriander-leaves-jar,natco,25g,natco_foods,natco-natco-coriander-leaves-jar-25g,,true
basil-jar,natco,25g,natco_foods,natco-natco-basil-jar-25g,,true
milk-powder,natco,750g,natco_foods,natco-natco-milk-powder-750g,,true
milk-powder,natco,300g,natco_foods,natco-natco-milk-powder-300g,,true
ragi-flour,natco,900g,natco_foods,natco-natco-ragi-flour-900g,,true
millet-bajri-flour,natco,900g,natco_foods,natco-natco-millet-bajri-flour-900g,,true
couscous,natco,500g,natco_foods,natco-natco-couscous-500g,,true
semolina-extra-coarse,natco,1-5kg,natco_foods,natco-natco-semolina-extra-coarse-15kg,,true
semolina-coarse,natco,1-5kg,natco_foods,natco-natco-semolina-coarse-15kg,,true
semolina-coarse,natco,500g,natco_foods,natco-natco-semolina-coarse-500g,,true
semolina-fine,natco,1-5kg,natco_foods,natco-natco-semolina-fine-15kg,,true
semolina-fine,natco,500g,natco_foods,natco-natco-semolina-fine-500g,,true
rice-flour,natco,500g,natco_foods,natco-natco-rice-flour-500g,,true
ground-rice,natco,1-5kg,natco_foods,natco-natco-ground-rice-15kg,,true
ground-rice,natco,500g,natco_foods,natco-natco-ground-rice-500g,,true
gram-flour-papa-brand,natco,2kg,natco_foods,natco-natco-gram-flour-papa-brand-2kg,,true
gram-flour-superfine,natco,2kg,natco_foods,natco-natco-gram-flour-superfine-2kg,,true
gram-flour-superfine,natco,1kg,natco_foods,natco-natco-gram-flour-superfine-1kg,,true
gram-flour-superfine,natco,500g,natco_foods,natco-natco-gram-flour-superfine-500g,,true
white-maize-meal,natco,1-5kg,natco_foods,natco-natco-white-maize-meal-15kg,,true
cornmeal-medium,natco,1-5kg,natco_foods,natco-natco-cornmeal-medium-15kg,,true
cornmeal-medium,natco,500g,natco_foods,natco-natco-cornmeal-medium-500g,,true
cornmeal-fine,natco,1-5kg,natco_foods,natco-natco-cornmeal-fine-15kg,,true
cornmeal-fine,natco,500g,natco_foods,natco-natco-cornmeal-fine-500g,,true
chakki-atta-multigrain,natco,5kg,natco_foods,natco-natco-chakki-atta-multigrain-5kg,,true
chapati-flour-medium,natco,1-5kg,natco_foods,natco-natco-chapati-flour-medium-15kg,,true
chapati-flour-white,natco,1-5kg,natco_foods,natco-natco-chapati-flour-white-15kg,,true
golden-raisins,natco,1kg,natco_foods,natco-natco-golden-raisins-1kg,,true
golden-raisins,natco,100g,natco_foods,natco-natco-golden-raisins-100g,,true
toovar,natco,400g,natco_foods,natco-natco-toovar-400g,,true
suran-yam,natco,400g,natco_foods,natco-natco-suran-yam-400g,,true
punjabi-tinda-full-case-12x400g,natco,400g,natco_foods,natco-natco-punjabi-tinda-full-case-12x400g-400g,,true
okra-full-case-12x400g,natco,400g,natco_foods,natco-natco-okra-full-case-12x400g-400g,,true
lotus-root,natco,400g,natco_foods,natco-natco-lotus-root-400g,,true
karela,natco,400g,natco_foods,natco-natco-karela-400g,,true
sarson-ka-saag,natco,450g,natco_foods,natco-natco-sarson-ka-saag-450g,,true
patra,natco,400g,natco_foods,natco-natco-patra-400g,,true
tomatoes-chopped-full-case-12x400g,natco,400g,natco_foods,natco-natco-tomatoes-chopped-full-case-12x400g-400g,,true
tomatoes-peeled,natco,400g,natco_foods,natco-natco-tomatoes-peeled-400g,,true
tomato-paste,natco,800g,natco_foods,natco-natco-tomato-paste-800g,,true
spinach-leaf,natco,396g,natco_foods,natco-natco-spinach-leaf-396g,,true
rose-coco-borlotti-beans,natco,400g,natco_foods,natco-natco-rose-coco-borlotti-beans-400g,,true
rose-coco-borlotti-beans,natco,2kg,natco_foods,natco-natco-rose-coco-borlotti-beans-2kg,,true
