product_handle,brand_handle,variant_handle,price_gbp,currency
red-kidney-beans,trs,1kg,0.99,gbp
red-kidney-beans,trs,2kg,1.49,gbp
red-kidney-beans,trs,500g,2.49,gbp
red-kidney-beans,trs,5kg,2.99,gbp
red-kidney-beans,trs,400g,1.99,gbp
red-split-lentils,trs,1kg,0.99,gbp
red-split-lentils,trs,5kg,2.49,gbp
rosecoco-beans,trs,25kg,0.99,gbp
rosecoco-beans,trs,2kg,1.49,gbp
rosecoco-beans,trs,500g,1.99,gbp
sarson-ka-saag-spiced-mustard-greens-curry,trs,850g,1.49,gbp
sarson-ka-saag-spiced-mustard-greens-curry,trs,450g,0.99,gbp
tapioca-pearls,trs,1-5kg,0.99,gbp
tapioca-pearls,trs,500g,1.49,gbp
toor-dal,trs,500g,0.99,gbp
toor-dal,trs,1kg,1.49,gbp
toor-dal,trs,25kg,2.49,gbp
toor-dal,trs,2kg,1.99,gbp
tumeric-powder,trs,100g,0.99,gbp
tumeric-powder,trs,400g,1.49,gbp
tumeric-powder,trs,1kg,1.99,gbp
tumeric-powder,trs,5kg,2.49,gbp
urid-beans,trs,500g,0.99,gbp
urid-beans,trs,1kg,1.49,gbp
urid-beans,trs,2kg,1.99,gbp
urid-beans,trs,5kg,2.49,gbp
urid-beans,trs,25kg,2.99,gbp
urid-dal,trs,500g,0.99,gbp
urid-dal,trs,1kg,1.49,gbp
urid-dal,trs,2kg,1.99,gbp
urid-dal,trs,5kg,2.49,gbp
urid-dal-chilka,trs,500g,0.99,gbp
urid-dal-chilka,trs,1kg,1.49,gbp
urid-dal-chilka,trs,2kg,1.99,gbp
urid-whole-gota,trs,500g,0.99,gbp
urid-whole-gota,trs,1kg,1.49,gbp
urid-whole-gota,trs,2kg,1.99,gbp
urid-whole-gota,trs,5kg,2.49,gbp
white-maize-meal,trs,1-5kg,0.99,gbp
white-maize-meal,trs,5kg,1.99,gbp
white-maize-meal,trs,500g,1.49,gbp
whole-cinnamon-dalchini,trs,1-5kg,0.99,gbp
whole-cinnamon-dalchini,trs,200g,1.49,gbp
whole-cinnamon-dalchini,trs,50g,2.49,gbp
whole-cinnamon-dalchini,trs,400g,1.99,gbp
yellow-peas,trs,500g,0.99,gbp
yellow-peas,trs,2kg,1.49,gbp
yellow-split-peas,trs,2kg,0.99,gbp
yellow-split-peas,trs,500g,1.49,gbp
