"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"takmuria","Takmuria (Basil Seeds) 100g","100","Herbs","spices-herbs","basil;basil seeds;chia;chia seeds;falooda;sabja;tukmaria","no","in_shopify_only"
"tamarind-paste-jar","Tamarind Paste Jar 250g","250","Spice & Herb Jars","spice-herb-jars","2024BEST;imli;tamrind","no","in_shopify_only"
"tamarindslab","Tamarind Slab 200g","200","spice","spices-herbs","imli;tamarind pulp;tamrind","no","in_shopify_only"
"tamarindwet","Tamarind Wet 400g","400","spice","spices-herbs","2025BEST;imli;tamrind","no","in_shopify_only"
"tandoorimasala","Tandoori Masala 400g","400","Spice Blends and Mixes","spice-blends-mixes","0","no","in_shopify_only"
"tandoori-masala-jar","Tandoori Masala Jar 100g","100","Spice Jars","spice-herb-jars","mosola;spice blend;spice blends","no","in_shopify_only"
"turmeric-powder","Turmeric Powder 400g","400","Spices","spices-herbs","2021BEST;curcumin;haldi;tumeric","no","in_shopify_only"
"turmeric-powder-jar","Turmeric Powder Jar 100g","100","Spice & Herb Jars","spice-herb-jars","BesanPuri;curcumin;Dal Recipe;haldi;tumeric","no","in_shopify_only"
"vanilla-essence","Vanilla Flavouring Essence 28ml","28","Flavouring","food-colourings-essences","Christmas;essence;essences;flavouring;flavourings;Xmas Cooking","no","in_shopify_only"
"white-pepper-ground","White Pepper Ground 100g","100","Spices","spices-herbs","Christmas;mirch;Xmas Cooking","no","in_shopify_only"
"white-pepper-ground-jar","White Pepper Ground Jar 100g","100","Spice & Herb Jars","spice-herb-jars","Christmas;mirch;Xmas Cooking","no","in_shopify_only"
"whole-birdseye-chilli-jar-40g","Whole Birdseye Chilli Jar 40g","55","Spice & Herb Jars","spice-herb-jars","chili;Dal Recipe","no","in_shopify_only"
"whole-birdseye-jar","Whole Birdseye Chilli Jar 50g","50","Spice & Herb Jars","spice-herb-jars","chili;Dal Recipe","no","in_shopify_only"
"yellow-food-colouring","Yellow Food Colouring - Powder 25g","25","Food Colouring","food-colourings-essences","2024BEST;2025BEST;Colouring;Dye","no","in_shopify_only"
"yellow-mustard-seeds","Yellow Mustard Seeds 300g","300","Spices","spices-herbs","Rai;Sarson","no","in_shopify_only"
