product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw,sourcing_depot
brooke-bond-red-label,brooke-bond-tea-500g,GEN_brooke-bond-red-label_500g,500g,500,g,/images/products/brooke-bond-red-label.jpg,,,,Store in a cool dry place,India,500,brooke-bond-red-label-500g,,fresh_supplier
brooke-bond-red-label,brooke-bond-tea-1kg,GEN_brooke-bond-red-label_1kg,1kg,1,kg,/images/products/brooke-bond-red-label.jpg,,,,Store in a cool dry place,India,1,brooke-bond-red-label-1kg,,fresh_supplier
chings-schezwan-noodles,chings-schezwan-noodles-240g,GEN_chings-schezwan-noodles_240g,,240,g,/images/products/chings-schezwan-noodles.jpg,A,,wheat,Contains wheat,Store in a cool dry place,India,Default,chings-schezwan-noodles-240g,fresh_supplier
chings-schezwan-sauce,chings-schezwan-sauce-250g,GEN_chings-schezwan-sauce_250g,,250,g,/images/products/chings-schezwan-sauce.jpg,A,,soya,Contains soya,Store in a cool dry place,India,Default,chings-schezwan-sauce-250g,fresh_supplier
everest-garam-masala,everest-garam-masala-100g,GEN_everest-garam-masala_100g,,100,g,/images/products/everest-garam-masala.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,everest-garam-masala-100g,depot_b
everest-pav-bhaji-masala,everest-pav-bhaji-100g,GEN_everest-pav-bhaji-masala_100g,,100,g,/images/products/everest-pav-bhaji-masala.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,everest-pav-bhaji-masala-100g,depot_b
everest-sambhar-masala,everest-sambhar-masala-100g,GEN_everest-sambhar-masala_100g,,100,g,/images/products/everest-sambhar-masala.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,everest-sambhar-masala-100g,depot_b
everest-tea-masala,everest-tea-masala-100g,GEN_everest-tea-masala_100g,,100,g,/images/products/everest-tea-masala.jpg,A,,,See product packaging,Store in a cool dry place,India,Default,everest-tea-masala-100g,depot_b
haldirams-aloo-bhujia,haldirams-haldirams-aloo-bhujia-400g,GEN_haldirams-aloo-bhujia_400g,400g,400,g,/uploads/haldirams-aloo-bhujia.jpg,B,,,See product packaging,,India,400g,MVC-haldirams-aloo-bhujia-400g-v0,depot_b
haldirams-aloo-bhujia,haldirams-haldirams-aloo-bhujia-1kg,GEN_haldirams-aloo-bhujia_1kg,1kg,1,kg,/uploads/haldirams-aloo-bhujia.jpg,B,,,See product packaging,,India,1kg,MVC-haldirams-aloo-bhujia-1kg-v0,depot_b
